,x,y,z,d,x_err,y_err
0,0.0,0.0,0.0,0,0.0,0.0
1,0.6072529,-0.6072529,0.19198621771937624,-1,0.0,-1.0
2,0.30362645,-0.91087935,-0.2716613912814299,-1,-0.5,-0.5
3,0.5313462875,-0.8349727375,-0.02668272815456578,1,0.375,0.125
4,0.6357178796874999,-0.7685544515625,0.09767226639219566,1,0.171875,0.109375
5,0.5876832264648437,-0.8082868190429687,0.03525345639623831,-1,-0.0791015625,-0.0654296875
6,0.5624242633697509,-0.8266519198699951,0.00401362296597003,-1,-0.041595458984375,-0.030242919921875
7,0.5495078271217823,-0.8354397989851474,-0.011610105654506802,-1,-0.021270275115966797,-0.01447153091430664
8,0.5560347005513537,-0.8311467690857586,-0.0037977645944056904,1,0.010748196393251419,0.00706959143280983
9,0.559281367618095,-0.8289747585367297,0.00010846553756128172,1,0.005346482605091296,0.003576780858566053
10,0.5576622762928279,-0.8300671049578588,-0.0018446569789175372,-1,-0.0026662554024312612,-0.0017988327781210955
11,0.5584728887000133,-0.8295225128911666,-0.0008680947893582176,1,0.0013348843738505423,0.0008968126240191943
12,0.558877928989511,-0.8292498210509811,-0.00037981357816331925,1,0.0006670042901362194,0.0004490581110201397
13,0.5590803825591036,-0.829113376244099,-0.00013567295801395748,1,0.0003333925117402492,0.00022469189835438996
14,0.5591815926880396,-0.8290451291270873,-1.360264612028727e-05,1,0.0001666688276598105,0.00011238664650536911
15,0.5592321935870341,-0.8290109993912054,4.74325100539215e-05,1,8.332755429341088e-05,5.620349591062279e-05
16,0.5592068941790937,-0.8290280658033632,1.6914931938395403e-05,-1,-4.1662061952107976e-05,-2.810429091049116e-05
17,0.5591942442147109,-0.8290365986234038,1.6561428770796413e-06,-1,-2.0831459813464015e-05,-1.4051509742651902e-05
18,0.5591879191674191,-0.8290408649369125,-5.973251654022329e-06,-1,-1.0415837111255044e-05,-7.025595939902374e-06
19,0.5591910817073397,-0.8290387318042863,-2.1585543884158323e-06,1,5.207945356189292e-06,3.51275823673447e-06
20,0.5591926629732313,-0.8290376652319411,-2.5120575560564544e-07,1,2.6039659780652258e-06,1.756389051754681e-06
21,0.55919345360516,-0.8290371319442605,7.024685608003154e-07,1,1.3019813139836245e-06,8.781970091131797e-07
22,0.55919305828945,-0.8290373985884779,2.2563140259722654e-07,-1,-6.509902382711985e-07,-4.390991255043275e-07
23,0.5591928606315314,-0.8290375319104923,-1.2787176504331428e-08,-1,-3.254952237741193e-07,-2.195494075429849e-07
24,0.5591929594605065,-0.8290374652495087,1.0642211304644926e-07,1,1.627476380328119e-07,1.0977466491368659e-07
25,0.5591929100460229,-0.8290374985800064,4.681746827105871e-08,-1,-8.13738124660901e-08,-5.488734222680591e-08
26,0.5591928853387802,-0.8290375152452538,1.701514588336341e-08,-1,-4.0686907842868436e-08,-2.7443668670912302e-08
27,0.5591928729851585,-0.8290375235778771,2.1139846895157534e-09,-1,-2.0343454365523428e-08,-1.3721833669322336e-08
28,0.5591928668083477,-0.8290375277441887,-5.336595907408075e-09,-1,-1.0171727238272865e-08,-6.860916723638866e-09
29,0.5591928698967531,-0.829037525661033,-1.6113056089461607e-09,1,5.085863619136433e-09,3.430458361819433e-09
30,0.5591928714409559,-0.8290375246194551,2.513395402847963e-10,1,2.5429318650793675e-09,1.715229069887414e-09
31,0.5591928706688545,-0.8290375251402441,-6.799830343306822e-10,-1,-1.2714659325396838e-09,-8.576146459660094e-10
32,0.5591928710549051,-0.8290375248798496,-2.143217470229429e-10,1,6.357329107586907e-10,4.2880721196070226e-10
33,0.5591928712479305,-0.8290375247496524,1.850889663092671e-11,1,3.1786651089049656e-10,2.1440360598035113e-10
34,0.5591928711514178,-0.829037524814751,-9.790642519600811e-11,-1,-1.5893319993409705e-10,-1.0720180299017557e-10
35,0.5591928711996742,-0.8290375247822017,-3.9698764282540696e-11,1,7.946665547819975e-11,5.360090149508778e-11
36,0.5591928712238023,-0.8290375247659271,-1.0594933825806994e-11,1,3.973332773909988e-11,2.6800561769846354e-11
37,0.5591928712358665,-0.8290375247577897,3.956981402559857e-12,1,1.986666386954994e-11,1.3400169862620714e-11
38,0.5591928712298344,-0.8290375247618584,-3.318976211623568e-12,-1,-9.933276423623738e-12,-6.70019595361282e-12
39,0.5591928712328504,-0.8290375247598242,3.1900259546814474e-13,1,4.9666937229631e-12,3.3499869545039473e-12
40,0.5591928712313424,-0.8290375247608414,-1.4999868080777118e-12,-1,-2.48334686148155e-12,-1.6751044995544362e-12
